location,Company,Model,ModelType,Year,Kms,Fuel,Transmission,Color,No_of_owner,RTO,Insurance,Price
"Matrali, Paonta Sahib, Himachal Pradesh",Honda,City,2014-2015 i DTEC S,2014,"62,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 5,50,000"
"Akhara Mohalla, Dehradun, Uttaranchal",Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,2017,"65,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 4,50,000"
"Dobhalwala, Dehradun, Uttaranchal",Ford,Figo,2010-2012 Diesel ZXI,2012,"80,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,75,000"
"Bala Hissar, Mussoorie, Uttaranchal",Maruti Suzuki,Alto K10,VXI,2017,"62,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,30,000"
"Pharma City, Selaqui, Uttaranchal",Maruti Suzuki,800,AC,1996,"50,000 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 42,000"
"Pharma City, Selaqui, Uttaranchal",Maruti Suzuki,Alto 800,LXI,2006,"100,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,00,000"
"Dinkar Colony, Vikasnagar, Uttaranchal",Maruti Suzuki,Alto,LXi,2011,"175,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,75,000"
"Doon Enclave, Dehradun, Uttaranchal",Mahindra,KUV 100,K8 5Str,2016,"34,600 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 4,10,000"
"Haripur, Selaqui, Uttaranchal",Renault,KWID,1.0 RXL,2017,"8,500 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 3,20,000"
"Raipur, Dehradun, Uttaranchal",Force Motors,Others,Others,2019,"38,000 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 14,00,000"
"Ballupura, Dehradun, Uttaranchal",Maruti Suzuki,Wagon R,1999-2006 LXI BSII,2005,"60,146 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,20,000"
"Karanpur, Dehradun, Uttaranchal",Maruti Suzuki,Swift,VDI,2017,"81,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,25,000"
"Race Course, Dehradun, Uttaranchal",Renault,Duster,110PS Diesel RxL,2014,"83,000 km",Diesel,Manual,Silver,2nd,UK,Comprehensive,"₹ 4,60,000"
"Mahadev Vihar, Dehradun, Uttaranchal",Tata,Nano GenX,XT,2016,"33,000 km",Petrol,Manual,Silver,1st,UK,No Insurance,"₹ 1,45,000"
"Race Course, Dehradun, Uttaranchal",BMW,X1,sDrive 20d xLine,2012,"57,000 km",Diesel,Automatic,Champagne,1st,UK,Not Available,"₹ 9,00,000"
"Prem Nagar, Dehradun, Uttaranchal",Tata,Zest,Revotron 1.2T XM,2014,"54,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,79,000"
"Chiranjipur, Vikasnagar, Uttaranchal",Maruti Suzuki,Swift,VXI,2019,"11,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 6,25,000"
"Purvi Patel Nagar, Dehradun, Uttaranchal",Maruti Suzuki,Ciaz,2014-2017 VDI SHVS,2016,"45,000 km",Diesel,Manual,Grey,1st,UK,Third Party,"₹ 6,50,000"
"Mithi Behri, Dehradun, Uttaranchal",Chevrolet,Beat,2014-2016 Diesel LS,2014,"68,740 km",Diesel,Manual,Not Available,3rd,Not Available,Not Available,"₹ 2,00,000"
"Nai Basti, Dehradun, Uttaranchal",Mahindra,Scorpio,2009-2014 VLX 4WD AIRBAG BSIV,2014,"76,000 km",Diesel,Manual,Not Available,3rd,Not Available,Not Available,"₹ 7,00,000"
"Patel Nagar, Dehradun, Uttaranchal",Volkswagen,Polo,2009-2013 Diesel Trendline 1.2L,2012,"59,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,00,000"
"Krishna Nagar, Dehradun, Uttaranchal",Maruti Suzuki,800,AC BSIII,2011,"62,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,50,000"
"Saket Colony, Dehradun, Uttaranchal",Hyundai,Santa Fe,2WD AT,2011,"84,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 6,30,000"
"Transport Nagar, Dehradun, Uttaranchal",Honda,Amaze,2013-2016 VX O i VTEC,2013,"74,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,20,000"
"Patel Nagar, Dehradun, Uttaranchal",BMW,5 Series,520d,2011,"50,000 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 12,00,000"
"Rishi Nagar, Dehradun, Uttaranchal",Maruti Suzuki,Esteem,Vxi,2006,"80,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 90,000"
"R J Estate, Dehradun, Uttaranchal",Hyundai,Santro,LP zipPlus,2001,"111,088 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 65,000"
"Johari, Dehradun, Uttaranchal",Maruti Suzuki,Zen,Classic,1998,"10,000 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 90,000"
"Morawala Village, Dehradun, Uttaranchal",Hyundai,i10,2007-2010 Era 1.1,2011,"49,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,11,999"
"Kargi, Dehradun, Uttaranchal",Mahindra,XUV500,W10 AWD,2016,"74,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 11,00,000"
"Landour, Mussoorie, Uttaranchal",Hyundai,Santro,Others,2008,"58,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,65,000"
"Arcadia Grant, Dehradun, Uttaranchal",Mahindra,Scorpio,2009-2014 M2DI,2014,"92,865 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 6,20,000"
"Race Course, Dehradun, Uttaranchal",Maruti Suzuki,Swift Dzire,VDI,2013,"71,000 km",Diesel,Manual,White,2nd,UK,Comprehensive,"₹ 3,80,000"
"Karanpur, Dehradun, Uttaranchal",Maruti Suzuki,Zen Estilo,LXI BS IV,2011,"62,000 km",Not Available,Not Available,Not Available,1st,Not Available,Not Available,"₹ 1,90,000"
"Shakti Vihar, Dehradun, Uttaranchal",Ford,Ecosport,1.5 Diesel Titanium,2018,"85,000 km",Diesel,Manual,White,1st,UK,Comprehensive,"₹ 7,90,000"
"Vyon Prastha, Dehradun, Uttaranchal",Chevrolet,Spark,E 1.0,2010,"60,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 1,10,000"
"New Secretariat Colony, Dehradun, Uttaranchal",Hyundai,i20,2009-2011 Sportz Petrol,2017,"26,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,85,000"
"Paltan Bazar, Dehradun, Uttaranchal",Chevrolet,Spark,2007-2012 1.0,2008,"82,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 80,000"
"Chandrabani, Dehradun, Uttaranchal",Hyundai,EON,Magna +,2012,"45,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,00,000"
"Majra, Dehradun, Uttaranchal",Hyundai,Xcent,Base 1.2,2019,"80,000 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 2,20,000"
"Clement Town, Dehradun, Uttaranchal",Maruti Suzuki,Zen,LX,1999,"45,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 55,000"
"Central Hope Town, Selaqui, Uttaranchal",Maruti Suzuki,800,AC,2016,"60,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 2,50,000"
"Pharma City, Selaqui, Uttaranchal",Maruti Suzuki,Alto,LX,2007,"77,000 km",Petrol,Automatic,Not Available,3rd,Not Available,Not Available,"₹ 1,10,000"
"Doon Vihar, Dehradun, Uttaranchal",Tata,Nano,2009-2011 Cx,2012,"34,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 60,000"
"Ballupura, Dehradun, Uttaranchal",Hyundai,Fluidic Verna,1.6 CRDi SX,2014,"98,163 km",Diesel,Manual,Not Available,3rd,Not Available,Not Available,"₹ 4,50,000"
"Transport Nagar, Dehradun, Uttaranchal",Maruti Suzuki,Swift Dzire Tour,LDI,2015,24 km,Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,50,000"
"Doiwala Chowk, Doiwala, Uttaranchal",Maruti Suzuki,Zen Estilo,1.1 LXI BSIII,2007,"56,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 92,000"
"Mohabbey Wala, Dehradun, Uttaranchal",Mahindra,Bolero,SLE,2012,"75,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,65,000"
"Garhwali Colony, Dehradun, Uttaranchal",Tata,Indigo Ecs,eCS LS TDI,2015,"122,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,70,000"
"Karanpur, Dehradun, Uttaranchal",Maruti Suzuki,Swift,2011-2014 VDI,2011,"76,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,70,000"
"Gujrahad, Dehradun, Uttaranchal",Hyundai,Santro Xing,GLS CNG,2009,"95,000 km",CNG & Hybrids,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,35,000"
"Shahpur, Bhagwanpur, Uttaranchal",Maruti Suzuki,Swift Dzire,VDI,2009,"99,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,90,000"
"Purvi Patel Nagar, Dehradun, Uttaranchal",Maruti Suzuki,Swift,2018 LXI,2018,"39,000 km",Petrol,Manual,White,1st,UK,No Insurance,"₹ 5,25,000"
"Race Course, Dehradun, Uttaranchal",Toyota,Fortuner,3.0 4x4 Manual,2012,"72,000 km",Diesel,Manual,White,2nd,UK,Comprehensive,"₹ 11,00,000"
"Race Course, Dehradun, Uttaranchal",Renault,Duster,85PS Diesel RxS,2018,"63,000 km",Diesel,Manual,Silver,1st,UK,Comprehensive,"₹ 7,90,000"
"Garhwali Colony, Dehradun, Uttaranchal",Mahindra,Scorpio,2002-2013 Vlx Air bag BS-IV,2013,"175,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,55,000"
"Patel Nagar, Dehradun, Uttaranchal",Ford,Fiesta,ZXi 1.6,2011,"82,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,99,000"
"Majra, Dehradun, Uttaranchal",Tata,Others,Others,2017,"53,000 km",Diesel,Manual,Pink,1st,UK,Comprehensive,"₹ 22,99,000"
"Badripur Chowk, Paonta Sahib, Himachal Pradesh",Hyundai,Xcent,2016-2017 1.2 Kappa SX Option AT,2017,"22,000 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 5,00,000"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Bramhpur, Dehradun, Uttaranchal",Tata,Others,Others,2017,"80,000 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 2,30,000"
"Clement Town, Dehradun, Uttaranchal",Chevrolet,Beat,2010-2013 Diesel LT Option,2013,"72,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,80,000"
"Prem Nagar, Dehradun, Uttaranchal",Tata,Manza,Manza Aura ABS Quadrajet BS-III,2011,"74,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,72,500"
"Khurbura, Dehradun, Uttaranchal",Honda,Others,Others,2019,"6,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 55,999"
"Banjarawala, Dehradun, Uttaranchal",Mahindra,XUV500,W10 2WD,2016,"71,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 12,00,000"
"Chandrabani, Dehradun, Uttaranchal",Hyundai,Santro Xing,XG,2009,"80,000 km",Petrol,Automatic,Not Available,3rd,Not Available,Not Available,"₹ 1,20,000"
"Kargigrant, Dehradun, Uttaranchal",Hyundai,Santro Xing,Zip Plus,2003,"80,000 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 70,000"
"Telpura, Dehradun, Uttaranchal",Maruti Suzuki,Ritz,VDi,2009,"90,500 km",Diesel,Manual,Not Available,3rd,Not Available,Not Available,"₹ 1,70,000"
"Kaulagarh, Dehradun, Uttaranchal",Maruti Suzuki,Alto,LXi,2006,"90,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 98,000"
"Shankerpur Hakumatpur, Sara Industrial Estate, Uttaranchal",Hyundai,i10,Magna,2011,"58,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,30,000"
"Sahaspur, Dehradun, Uttaranchal",Honda,Civic,1.8 (E) MT,2006,"125,000 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 2,00,000"
"Kewal Vihar, Dehradun, Uttaranchal",Hyundai,i20,Magna Plus,2019,"30,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 6,20,000"
"Race Course, Dehradun, Uttaranchal",Ford,Figo,2012-2015 Diesel EXI,2012,"72,000 km",Diesel,Manual,White,2nd,UK,Not Available,"₹ 1,80,000"
"Race Course, Dehradun, Uttaranchal",Toyota,Etios,2010-2012 GD,2012,"71,000 km",Diesel,Manual,Gold,1st,UK,Not Available,"₹ 2,40,000"
"Purvi Patel Nagar, Dehradun, Uttaranchal",Mahindra,Xylo,2012-2014 D4 BSIV,2014,"50,000 km",Diesel,Manual,White,1st,UP,Third Party,"₹ 2,90,000"
"Maitry Vihar, Dehradun, Uttaranchal",Honda,WR-V,i-VTEC S,2019,"160,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 9,50,000"
"GE Premnagar, Dehradun, Uttaranchal",Maruti Suzuki,Swift Dzire,VDI,2013,"75,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,95,000"
"Clement Town, Dehradun, Uttaranchal",Maruti Suzuki,Zen,LXI,2000,"55,000 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 60,000"
"Adarsh Nagar, Dehradun, Uttaranchal",Ford,Figo,Duratorq ZXI 1.4,2010,"82,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,10,000"
"Nai Basti, Dehradun, Uttaranchal",Maruti Suzuki,Swift,LXI,2006,70 km,Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,21,000"
"Ballupura, Dehradun, Uttaranchal",Tata,Indica V2,Others,2006,1 km,Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 48,500"
"Sarthi Vihar, Dehradun, Uttaranchal",Ford,Endeavour,2003-2013 4x4 AT ALL Terrain Edition,2011,"197,000 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 5,00,000"
"Banjarawala, Dehradun, Uttaranchal",Maruti Suzuki,Ritz,LXi,2011,"120,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,40,000"
"Morawala Village, Dehradun, Uttaranchal",Hyundai,Santro Xing,GLS,2007,"70,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,00,000"
"Do Nali Chowk, Natthuwa Wala, Uttaranchal",Mahindra,Bolero,XL 7 STR,2020,"9,500 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 8,50,000"
"Dharampur Nehru Colony, Dehradun, Uttaranchal",Hyundai,Verna,2015-2016 1.6 VTVT SX,2015,"58,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 6,70,000"
"Nikhileshwar Vihar, Dehradun, Uttaranchal",Honda,City ZX,Others,2007,"87,000 km",Petrol,Manual,Not Available,4th,Not Available,Not Available,"₹ 1,38,000"
"Ambari, Vikasnagar, Uttaranchal",Maruti Suzuki,Alto K10,VXI,2016,"30,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,50,000"
"Patel Nagar, Dehradun, Uttaranchal",Mahindra,Bolero Pik-Up,FB 1.25T,2015,"200,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,00,000"
"Irrigation Colony, Dehradun, Uttaranchal",Maruti Suzuki,Swift Dzire,VXI,2015,"50,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,70,000"
"Rajiv Nagar, Dehradun, Uttaranchal",Tata,Vista,Others,2009,"88,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 90,000"
"Prem Nagar, Dehradun, Uttaranchal",Maruti Suzuki,Omni,MPI STD BSIII 8-STR W/ IMMOBILISER,2016,"38,500 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 2,05,000"
"Purvi Patel Nagar, Dehradun, Uttaranchal",Mahindra,Scorpio,2006-2009 LX 2.6 Turbo,2008,"55,000 km",Diesel,Manual,Green,1st,UK,No Insurance,"₹ 2,50,000"
"Harbans Wala, Dehradun, Uttaranchal",Maruti Suzuki,S-Cross,Alpha 1.6,2016,"74,000 km",Diesel,Manual,Grey,1st,Not Available,Comprehensive,"₹ 6,00,000"
"Race Course, Dehradun, Uttaranchal",Tata,Safari,4x2 LX DICOR BS-III,2013,"70,000 km",Diesel,Manual,Black,2nd,UK,Comprehensive,"₹ 4,20,000"
"Shewala Khurd, Dehradun, Uttaranchal",Maruti Suzuki,Swift Dzire,ZDI,2009,"110,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,50,000"
"Patthribagh, Dehradun, Uttaranchal",Jeep,Compass,1.4 Limited,2019,"32,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 19,00,000"
"Shivlok, Dehradun, Uttaranchal",Tata,Nano,XE,2011,"32,000 km",Petrol,Manual,Not Available,4+,Not Available,Not Available,"₹ 45,000"
"Dallanwala, Dehradun, Uttaranchal",Ford,Ecosport,1.5 Diesel Titanium,2014,15 km,Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 6,00,000"
"R J Estate, Dehradun, Uttaranchal",Bajaj,RE60,Qute Petrol,2012,"45,000 km",Petrol,Automatic,Not Available,3rd,Not Available,Not Available,"₹ 25,000"
"MDDA Colony Near Kedarpuram, Dehradun, Uttaranchal",Ford,Figo,2010-2012 Diesel EXI,2011,"90,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,50,000"
"Chaman Vihar, Dehradun, Uttaranchal",Toyota,Fortuner,2.8 4WD AT,2020,"30,000 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 38,40,000"
"Niranjan Pur, Dehradun, Uttaranchal",Mahindra,Scorpio,VLX 4WD Automatic MHawk,2012,"85,000 km",Diesel,Automatic,Not Available,3rd,Not Available,Not Available,"₹ 5,00,000"
"Amar Bhati Village, Dehradun, Uttaranchal",Tata,Safari,4x2 EX DICOR BS-III,2013,"107,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,50,000"
"Subhash Nagar, Dehradun, Uttaranchal",Tata,Tiago,Others,2018,"44,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,00,000"
"Raipur, Dehradun, Uttaranchal",Maruti Suzuki,Wagon R 1.0,1.0 VXi,2011,32 km,CNG & Hybrids,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 2,10,000"
"Dharampur Nehru Colony, Dehradun, Uttaranchal",Chevrolet,Spark,2007-2012 1.0 LT Option Pack,2012,"41,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,85,000"
"Janakpuri, Dehradun, Uttaranchal",Hyundai,i20,2012-2014 Magna Optional 1.4 CRDi,2014,"132,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,00,000"
"Central Hope Town, Selaqui, Uttaranchal",Maruti Suzuki,Omni,MPI STD BSIII 8-STR W/ IMMOBILISER,2006,"45,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,00,000"
"Athhoorwala, Doiwala, Uttaranchal",Maruti Suzuki,Swift,2004-2010 ZXi BSIV,2008,"95,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,00,000"
"Sahaspur, Dehradun, Uttaranchal",Mahindra,Bolero,SLX,2013,"83,000 km",Diesel,Manual,Not Available,3rd,Not Available,Not Available,"₹ 3,70,000"
"Dehrakhas, Dehradun, Uttaranchal",Tata,Sumo Spacio,Gold-10/6 Str BSIII,2012,13 km,Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,50,000"
"Race Course, Dehradun, Uttaranchal",Mahindra,XUV500,W6 2WD,2013,"81,000 km",Diesel,Manual,Red,1st,UK,Comprehensive,"₹ 4,90,000"
"Purvi Patel Nagar, Dehradun, Uttaranchal",Tata,Safari,Dicor VX 4X2 BS IV,2012,"56,000 km",Diesel,Manual,Lightblue,1st,UK,Comprehensive,"₹ 2,90,000"
"Race Course, Dehradun, Uttaranchal",Hyundai,i20,1.2 Spotz,2012,"64,000 km",Petrol,Manual,White,3rd,UK,Comprehensive,"₹ 2,60,000"
"Kanhar Wala, Doiwala, Uttaranchal",Maruti Suzuki,Alto,2000-2005 LXI,2012,"80,000 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 1,50,000"
"Parteetpur Kalyanpur, Herbertpur, Uttaranchal",Maruti Suzuki,Zen,Base,2001,"135,000 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 65,000"
"Mohabbey Wala, Dehradun, Uttaranchal",Other Brands,Others,Not Available,2018,"50,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,50,000"
"Barlow Ganj, Mussoorie, Uttaranchal",Toyota,Etios,2013-2014 GD,2013,"62,550 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,10,000"
"Maithiyan Gaon, Chamba, Uttaranchal",Mahindra,Others,Others,2010,"85,000 km",Diesel,Manual,Not Available,4+,Not Available,Not Available,"₹ 3,80,000"
"Ajabpur Kalan, Dehradun, Uttaranchal",Maruti Suzuki,Wagon R,Duo LX LPG,2007,"150,000 km",LPG,Manual,Not Available,2nd,Not Available,Not Available,"₹ 90,000"
"Pitthuwala, Dehradun, Uttaranchal",Tata,Nano,2012-2015 Std BSIV,2011,"50,000 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 40,000"
