location,Company,Model,ModelType,Year,Kms,Fuel,Transmission,Color,No_of_owner,RTO,Insurance,Price
"Juhu Tara Road, Mumbai, Maharashtra",Toyota,Innova Crysta,2.4 VX MT 8S,2019,"35,000 km",Diesel,Manual,Grey,1st,GJ,Comprehensive,"₹ 18,71,000"
"Dwarka, Nashik, Maharashtra",Volkswagen,Jetta,Highline TDI,2011,"138,000 km",Diesel,Manual,White,2nd,MH,Comprehensive,"₹ 3,81,000"
"Chembur, Mumbai, Maharashtra",Hyundai,i10,Magna,2008,"59,000 km",Petrol,Manual,Silver,2nd,MH,No Insurance,"₹ 1,55,000"
"Sanpada, Navi Mumbai, Maharashtra",Hyundai,Others,Not Available,2020.0,1 km,Diesel,Manual,Red,1st,MH,Zero Dep,"₹ 15,000"
"Padmadarshan Society Satara Road, Pune, Maharashtra",Toyota,Etios,1.4 GD,2012,"128,000 km",Diesel,Manual,White,1st,MH,Third Party,"₹ 3,75,000"
"Kalyan, Thane, Maharashtra",Maruti Suzuki,Swift Dzire,Vdi BSIV,2010,"58,224 km",Diesel,Manual,Other,1st,MH,Not Available,"₹ 3,35,000"
"Ganga Bai Ghat Chowk, Nagpur, Maharashtra",Hyundai,Santro,Not Available,2007,"54,000 km",Petrol,Manual,Black,4th,MH,No Insurance,"₹ 1,41,000"
"Ganga Bai Ghat Chowk, Nagpur, Maharashtra",Chevrolet,Optra,Not Available,2008,"45,000 km",Petrol,Manual,Silver,2nd,MH,No Insurance,"₹ 2,11,000"
"Ganga Bai Ghat Chowk, Nagpur, Maharashtra",Maruti Suzuki,SX4,Vxi BSIV,2009,"51,000 km",Petrol,Manual,Silver,1st,MH,Comprehensive,"₹ 2,25,000"
"Indora, Nagpur, Maharashtra",Hyundai,Elite i20,Sportz 1.4,2019,"26,354 km",Petrol,Manual,White,1st,MH,Third Party,"₹ 7,21,000"
"Bhumkar Chowk Road, Pune, Maharashtra",BMW,3 Series,2005-2011 320d,2010,"96,000 km",Diesel,Automatic,Silver,1st,MH,No Insurance,"₹ 8,50,000"
"Vasai East, Mumbai, Maharashtra",Maruti Suzuki,Swift,ZXI,2012,"29,000 km",Petrol,Manual,Not Available,3rd,Not Available,Comprehensive,"₹ 3,35,000"
"Andheri West, Mumbai, Maharashtra",Maruti Suzuki,Ertiga,VXI CNG,2015,"52,708 km",CNG & Hybrids,Manual,White,1st,MH,No Insurance,"₹ 6,99,300"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Kalyan, Thane, Maharashtra",Volkswagen,Vento,1.6 Highline,2011,"61,000 km",Petrol,Manual,Silver,1st,MH,Comprehensive,"₹ 3,35,000"
"Kamothe, Navi Mumbai, Maharashtra",Maruti Suzuki,Vitara Brezza,VDi,2019,"17,000 km",Diesel,Manual,Silver,1st,MH,Comprehensive,"₹ 9,25,000"
"Kalyan, Thane, Maharashtra",Hyundai,EON,Era Plus,2014,"17,000 km",Petrol,Manual,Red,1st,MH,Comprehensive,"₹ 2,85,000"
"Vashi, Navi Mumbai, Maharashtra",Toyota,Etios,2010-2012 GD,2012,"147,920 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,80,000"
"Khar West, Mumbai, Maharashtra",Chrysler,300,Not Available,2009,"59,000 km",Diesel,Not Available,Not Available,Not Available,Not Available,Not Available,"₹ 20,00,000"
"Ghatkopar West, Mumbai, Maharashtra",Toyota,Innova Crysta,2.4 VX MT,2017,"63,000 km",Diesel,Manual,Other,1st,MH,Comprehensive,"₹ 16,85,111"
"Bibwewadi Bharat Jyoti Society, Pune, Maharashtra",Hyundai,Creta,1.6 CRDi AT SX Plus,2018,"85,000 km",Diesel,Automatic,Blue,1st,MH,Comprehensive,"₹ 12,99,999"
"Oshiwara, Mumbai, Maharashtra",Ford,Ecosport,1.5 Diesel Titanium Plus,2018,"51,000 km",Diesel,Manual,Other,1st,MH,No Insurance,"₹ 8,35,000"
"Bhumkar Chowk Road, Pune, Maharashtra",Maruti Suzuki,Ritz,ZDi,2014,"71,000 km",Diesel,Manual,Lightblue,1st,MH,Comprehensive,"₹ 4,25,000"
"Ashtavinayak Nagar, Mumbai, Maharashtra",Toyota,Corolla,H5,2008,"50,000 km",CNG & Hybrids,Manual,White,2nd,MH,No Insurance,"₹ 1,85,000"
"Hinjewadi Rajiv Gandhi Infotech Park Phase 4, Pune, Maharashtra",Hyundai,Grand i10,2016-2017 Asta Option AT,2015,"20,000 km",Petrol,Automatic,White,1st,MH,Comprehensive,"₹ 5,20,000"
"Boisar West, Palghar, Maharashtra",Toyota,Corolla Altis,1.8 G,2009,"72,000 km",Petrol,Manual,Not Available,2nd,MH,Comprehensive,"₹ 2,65,000"
"Vishrant Wadi, Pune, Maharashtra",Hyundai,Santro Xing,GLS,2006,"89,000 km",CNG & Hybrids,Manual,Lightblue,3rd,MH,Third Party,"₹ 1,60,000"
"Rutu Park, Thane, Maharashtra",Hyundai,Grand i10,2013-2016 AT Asta,2014,"23,028 km",Petrol,Automatic,Red,2nd,MH,No Insurance,"₹ 4,45,000"
"Vashi, Navi Mumbai, Maharashtra",Toyota,Innova Crysta,2.8 Z,2018,"52,000 km",Diesel,Automatic,Bordeaux/Maroon,1st,MH,No Insurance,"₹ 19,75,000"
"Ghodbuder Road, Thane, Maharashtra",Honda,Brio,1.2 S MT,2013,"47,627 km",Petrol,Manual,Brown,1st,MH,Not Available,"₹ 3,45,000"
"Vishrant Wadi, Pune, Maharashtra",Maruti Suzuki,Wagon R,Duo LXi LPG,2010,"85,000 km",Petrol,Manual,Red,2nd,MH,No Insurance,"₹ 1,90,000"
"Vashi, Navi Mumbai, Maharashtra",Toyota,Camry,2002-2011 V4 (MT),2003,"87,000 km",Petrol,Manual,White,3rd,MH,Comprehensive,"₹ 1,50,000"
"Avachit Pada, Bhiwandi, Maharashtra",Hyundai,EON,Magna,2013,"45,000 km",Petrol,Manual,White,1st,MH,Third Party,"₹ 2,25,000"
"Vashi, Navi Mumbai, Maharashtra",Hyundai,Creta,1.6 VTVT SX Plus Dual Tone,2016,"58,600 km",Petrol,Manual,Red,1st,MH,Comprehensive,"₹ 9,81,000"
"Thane West, Thane, Maharashtra",Maruti Suzuki,SX4,VDI,2012,"132,600 km",Diesel,Manual,Silver,2nd,MH,Comprehensive,"₹ 2,80,000"
"Dahisar East, Mumbai, Maharashtra",Honda,Civic,1.8 V MT,2009,"78,000 km",Petrol,Manual,Silver,2nd,MH,No Insurance,"₹ 1,85,000"
"Kapsi MIDC, Nagpur, Maharashtra",Maruti Suzuki,Baleno,1.2 Alpha,2016,"76,301 km",Diesel,Manual,Blue,1st,MH,Third Party,"₹ 6,35,000"
"Wadavali Village, Mumbai, Maharashtra",Hyundai,Verna,CRDI VGT 1.5,2010,"81,000 km",Diesel,Manual,White,2nd,MH,Third Party,"₹ 2,61,000"
"Juhu Tara Road, Mumbai, Maharashtra",Ford,Ecosport,1.5 Diesel Titanium Plus,2017,"27,000 km",Diesel,Manual,White,1st,MH,Comprehensive,"₹ 7,28,000"
"Virar East, Mumbai, Maharashtra",Toyota,Innova Crysta,2.4 VX MT,2017,"63,000 km",Diesel,Manual,Other,1st,MH,Comprehensive,"₹ 16,85,111"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Santacruz West, Mumbai, Maharashtra",Mini,Cooper Countryman,S JCW Inspired,2018,"16,000 km",Petrol,Automatic,Red,1st,MH,Comprehensive,"₹ 36,50,000"
"Dadar East, Mumbai, Maharashtra",Maruti Suzuki,Swift Dzire,VXI AT Optional,2012,"70,000 km",Petrol,Automatic,White,1st,MH,Comprehensive,"₹ 4,09,000"
"Malad West, Mumbai, Maharashtra",Maruti Suzuki,Wagon R 1.0,1.0 VXi,2015,"25,000 km",Petrol,Manual,Grey,1st,MH,Comprehensive,"₹ 3,69,000"
"Roha, Raigad District, Maharashtra",Maruti Suzuki,Wagon R,2010-2012 VXI BS IV,2016,"50,506 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,70,000"
"Bhumkar Chowk Road, Pune, Maharashtra",Maruti Suzuki,Swift,VDI,2016,"82,000 km",Diesel,Manual,White,1st,MH,No Insurance,"₹ 6,25,000"
"Pimple Saudagar, Pune, Maharashtra",Maruti Suzuki,Alto 800,LXI Opt,2019,"14,000 km",Petrol,Manual,White,1st,MH,Comprehensive,"₹ 3,39,999"
"Kalyan, Thane, Maharashtra",Maruti Suzuki,Vitara Brezza,Others,2020,"17,396 km",Petrol,Manual,White,1st,MH,Zero Dep,"₹ 10,25,000"
"Liberty Chowk, Nagpur, Maharashtra",Renault,KWID,RXT,2016,"27,000 km",Petrol,Manual,White,2nd,MH,No Insurance,"₹ 2,99,000"
"Thane West, Thane, Maharashtra",Hyundai,Grand I 10,Others,2014,"66,274 km",Diesel,Manual,White,1st,MH,No Insurance,"₹ 4,15,000"
"Waterfield Road Bandra West, Mumbai, Maharashtra",Maruti Suzuki,Ertiga,VXI Petrol,2016,"39,500 km",Petrol,Manual,Grey,1st,MH,Zero Dep,"₹ 6,95,000"
"Chembur, Mumbai, Maharashtra",Honda,City,2014-2015 i VTEC CVT VX,2017,"51,000 km",Petrol,Automatic,Brown,1st,MH,Comprehensive,"₹ 9,50,000"
"Bagadganj, Nagpur, Maharashtra",Maruti Suzuki,Swift,AMT VXI,2018,"41,000 km",Petrol,Automatic,Red,2nd,MH,No Insurance,"₹ 6,21,000"
"Goregaon East, Mumbai, Maharashtra",Hyundai,EON,Era,2012,"25,000 km",CNG & Hybrids,Manual,Blue,2nd,MH,Not Available,"₹ 2,20,000"
"Juhu Tara Road, Mumbai, Maharashtra",Toyota,Fortuner,3.0 4x4 Automatic,2013,"89,000 km",Diesel,Automatic,White,2nd,GJ,Comprehensive,"₹ 11,96,000"
"Andheri East, Mumbai, Maharashtra",Maruti Suzuki,Swift Dzire,ZDI Plus,2018,"54,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 7,50,000"
"Dahisar East, Mumbai, Maharashtra",Honda,Civic,1.8 V MT,2007,"74,500 km",Petrol,Manual,Other,2nd,MH,Third Party,"₹ 1,59,000"
"Juhu Tara Road, Mumbai, Maharashtra",Maruti Suzuki,Ciaz,1.3 Alpha,2018,"30,500 km",Diesel,Manual,White,1st,GJ,Comprehensive,"₹ 7,91,000"
"Juhu Tara Road, Mumbai, Maharashtra",Jeep,Compass,2.0 Sport,2018,"35,000 km",Diesel,Manual,White,1st,MH,Comprehensive,"₹ 13,31,000"
"Kalyan, Thane, Maharashtra",Mahindra,Scorpio,S3,2020,"17,600 km",Diesel,Manual,White,1st,MH,Zero Dep,"₹ 12,25,000"
"Nandur Naka, Nashik, Maharashtra",Maruti Suzuki,Ritz,Vdi BS-IV,2014,"70,000 km",Diesel,Manual,Silver,1st,MH,Third Party,"₹ 4,50,000"
"Juhu Tara Road, Mumbai, Maharashtra",Mercedes-Benz,CLA,200 CDI Sport,2008,"62,000 km",Diesel,Manual,Silver,1st,MH,Third Party,"₹ 5,93,000"
"Pune Vidyapith, Pune, Maharashtra",Tata,Hexa,XE,2017,"81,000 km",Diesel,Manual,White,1st,MH,No Insurance,"₹ 10,50,000"
"Andheri West, Mumbai, Maharashtra",Hyundai,i20 Active,S Petrol,2017,"14,000 km",Petrol,Manual,Bordeaux/Maroon,1st,MH,No Insurance,"₹ 6,75,000"
"Wakad, Pune, Maharashtra",Nissan,Sunny,Diesel XV,2012,"90,000 km",Diesel,Manual,Silver,1st,MH,Comprehensive,"₹ 3,40,000"
"Juhu Tara Road, Mumbai, Maharashtra",Toyota,Fortuner,4x4 Manual Limited Edition,2017,"62,000 km",Diesel,Manual,White,1st,AP,Comprehensive,"₹ 24,92,000"
"Colaba, Mumbai, Maharashtra",Maruti Suzuki,Ciaz,1.3 Sigma,2018,"38,000 km",Petrol,Automatic,Silver,1st,MH,Comprehensive,"₹ 9,75,000"
"Kalyan, Thane, Maharashtra",Maruti Suzuki,Wagon R,CNG LXI,2012,"51,000 km",CNG & Hybrids,Manual,White,1st,MH,Comprehensive,"₹ 2,90,000"
"Ganga Bai Ghat Chowk, Nagpur, Maharashtra",Mahindra,Scorpio,Not Available,2014,"710,000 km",Diesel,Not Available,White,2nd,MH,Comprehensive,"₹ 6,25,000"
"Ghatkopar West, Mumbai, Maharashtra",Skoda,Superb,2008-2013 1.8 TSI,2010,"80,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 2,75,000"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Majiwada, Thane, Maharashtra",Maruti Suzuki,Swift Dzire,VXI,2017,"35,709 km",Petrol,Manual,Silver,Not Available,MH,Not Available,"₹ 6,28,000"
"Juhu Tara Road, Mumbai, Maharashtra",Tata,Altroz,Others,2020,"2,600 km",Petrol,Manual,Gold,1st,MH,Comprehensive,"₹ 6,74,000"
"Bhumkar Chowk Road, Pune, Maharashtra",Renault,KWID,RXT,2017,"47,199 km",Petrol,Manual,Silver,1st,MH,Comprehensive,"₹ 3,30,000"
"Kalyan, Thane, Maharashtra",Maruti Suzuki,Swift,LDI,2012,"84,000 km",Diesel,Manual,White,1st,MH,No Insurance,"₹ 3,71,000"
"Sadar nagar, Nagpur, Maharashtra",Hyundai,Grand I 10,Not Available,2014,"93,000 km",Diesel,Manual,Silver,1st,MH,Comprehensive,"₹ 4,24,000"
"Kapsi MIDC, Nagpur, Maharashtra",Maruti Suzuki,Alto,2005-2010 LXi BSIII,2009,"84,551 km",Petrol,Manual,Blue,2nd,MH,Comprehensive,"₹ 1,65,000"
"Juhu Tara Road, Mumbai, Maharashtra",Honda,City,i-DTEC SV,2014,"62,000 km",Diesel,Manual,Red,1st,MH,Comprehensive,"₹ 4,85,000"
"Kalyan, Thane, Maharashtra",Maruti Suzuki,Alto,Vxi 1.1,2012,"79,000 km",Petrol,Manual,Silver,1st,MH,Comprehensive,"₹ 2,25,000"
"Suman Nagar, Mumbai, Maharashtra",Fiat,Linea,2007-2013 Emotion Pack (Diesel),2009,"78,000 km",Diesel,Manual,Bordeaux/Maroon,1st,MH,Comprehensive,"₹ 1,99,000"
"Kanjurmarg West, Mumbai, Maharashtra",Maruti Suzuki,SX4,ZXi,2009,"50,000 km",CNG & Hybrids,Manual,Black,2nd,MH,Comprehensive,"₹ 1,79,000"
"Nandur Naka, Nashik, Maharashtra",Skoda,Fabia,2008-2010 1.4 TDI Ambiente,2013,"75,000 km",Diesel,Manual,Black,1st,MH,No Insurance,"₹ 3,50,000"
"Khar West, Mumbai, Maharashtra",Mini,Cooper Countryman,S,2021,"3,000 km",Petrol,Automatic,Blue,1st,MH,Comprehensive,"₹ 41,50,000"
"Teen Hath Naka, Thane, Maharashtra",Volkswagen,Vento,1.2 TSI Highline AT,2014,"67,400 km",Petrol,Automatic,Black,1st,MH,Not Available,"₹ 5,45,000"
"Kasarvadavli, Thane, Maharashtra",Ford,Figo,2010-2012 Diesel EXI,2013,"48,010 km",Diesel,Manual,Red,1st,MH,Comprehensive,"₹ 3,10,000"
"Koregaon park, Pune, Maharashtra",Chrysler,300,Not Available,2009,"59,000 km",Diesel,Not Available,Not Available,Not Available,Not Available,Not Available,"₹ 20,00,000"
"Kalwa, Thane, Maharashtra",Ford,Figo,2012-2015 Diesel ZXI,2014,"68,000 km",Diesel,Manual,Silver,1st,MH,Not Available,"₹ 3,45,000"
"Wakad, Pune, Maharashtra",Hyundai,Creta,1.4 EX Diesel,2016,"87,000 km",Diesel,Manual,Red,1st,MH,Comprehensive,"₹ 8,85,000"
"Malad West, Mumbai, Maharashtra",Volkswagen,Polo,1.2 MPI Comfortline,2017,"15,000 km",Petrol,Manual,Blue,1st,MH,Comprehensive,"₹ 4,95,000"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Vashi, Navi Mumbai, Maharashtra",Maruti Suzuki,Ertiga,VXI,2015,"24,197 km",Petrol,Manual,Grey,1st,MH,Comprehensive,"₹ 6,50,000"
"Patrakar Nagar, Sangli (-Miraj), Maharashtra",Maruti Suzuki,Swift,VDI,2016,"83,000 km",Diesel,Manual,White,2nd,MH,No Insurance,"₹ 6,20,000"
"Teen Hath Naka, Thane, Maharashtra",Hyundai,Elite i20,Asta 1.2,2018,"9,800 km",Petrol,Manual,Silver,1st,MH,Comprehensive,"₹ 6,95,000"
"Hiranandani Estate, Thane, Maharashtra",Toyota,Innova Crysta,2.4 GX MT 8S,2016,"87,657 km",Diesel,Manual,Bordeaux/Maroon,1st,MH,Comprehensive,"₹ 15,50,000"
"Thane West, Thane, Maharashtra",Mahindra,XUV500,AT W10 AWD,2016,"82,879 km",Diesel,Automatic,Other,1st,MH,Comprehensive,"₹ 10,99,000"
"Vijaykar Wadi, Mumbai, Maharashtra",Maruti Suzuki,Wagon R 1.0,Wagon R 1.0 LXi CNG,2011,"46,451 km",CNG & Hybrids,Manual,White,2nd,MH,Third Party,"₹ 2,31,000"
"Taloja Panchanand, Navi Mumbai, Maharashtra",Hyundai,i20,1.4 Magna Executive,2015,"61,500 km",Diesel,Manual,Silver,1st,MH,Comprehensive,"₹ 5,89,000"
"Ganga Bai Ghat Chowk, Nagpur, Maharashtra",Maruti Suzuki,Swift Dzire,VDI,2014,"65,000 km",Diesel,Manual,Red,1st,MH,Comprehensive,"₹ 5,11,000"
"Hiranandani Estate, Thane, Maharashtra",Honda,City,2014-2015 V MT,2017,"31,655 km",Petrol,Manual,Red,1st,MH,No Insurance,"₹ 7,75,000"
"Charni Road, Mumbai, Maharashtra",Honda,BR-V,i-VTEC V CVT,2016,"32,382 km",Petrol,Automatic,Red,1st,MH,Comprehensive,"₹ 8,49,000"
"Juhu Tara Road, Mumbai, Maharashtra",Maruti Suzuki,Ignis,1.2 Alpha,2017,"20,600 km",Petrol,Manual,Silver,1st,MH,Comprehensive,"₹ 5,21,000"
"Bhumkar Chowk Road, Pune, Maharashtra",Fiat,Linea,Emotion Pk 1.4,2009,"63,000 km",Petrol,Manual,Bordeaux/Maroon,1st,MH,Comprehensive,"₹ 2,30,000"
"Ganga Bai Ghat Chowk, Nagpur, Maharashtra",Hyundai,i20,Sportz 1.4 CRDI 6 Speed BS-IV,2013,"71,000 km",Diesel,Manual,White,2nd,MH,No Insurance,"₹ 4,25,000"
"Kalyan, Thane, Maharashtra",Ford,Figo,2012-2015 Diesel LXI,2014,"53,000 km",Diesel,Manual,White,1st,MH,Comprehensive,"₹ 2,99,000"
"Juhu Tara Road, Mumbai, Maharashtra",Renault,Duster,85PS Diesel RxL,2013,"62,000 km",Diesel,Manual,Grey,1st,MH,Comprehensive,"₹ 4,22,000"
"Chembur, Mumbai, Maharashtra",Hyundai,Venue,Not Available,2021,1 km,Not Available,Not Available,Not Available,Not Available,MH,Not Available,"₹ 80,000"
"Ganga Bai Ghat Chowk, Nagpur, Maharashtra",Hyundai,i20,Magna Plus,2011,"61,000 km",Diesel,Manual,White,1st,MH,Comprehensive,"₹ 3,51,000"
"Hiranandani Estate, Thane, Maharashtra",Hyundai,i20,1.2 Magna Executive,2011,"80,000 km",Petrol,Manual,White,2nd,MH,Third Party,"₹ 2,35,000"
"Thane West, Thane, Maharashtra",Maruti Suzuki,Wagon R,VXI,2009,"81,500 km",Petrol,Manual,Gold,2nd,MH,Not Available,"₹ 1,47,000"
"Kalyan East, Mumbai, Maharashtra",Maruti Suzuki,Wagon R,VXI,2016,"40,709 km",Petrol,Manual,Brown,Not Available,MH,Not Available,"₹ 3,69,000"
"Hadapsar, Pune, Maharashtra",Hyundai,Elite i20,Asta 1.2,2015,"44,387 km",Petrol,Manual,White,Not Available,MH,Not Available,"₹ 5,60,000"
"Vashi, Navi Mumbai, Maharashtra",Audi,Q7,3.0 TDI Quattro Premium Plus,2015,"105,000 km",Diesel,Automatic,Grey,1st,MH,Comprehensive,"₹ 23,50,000"
"Juhu Tara Road, Mumbai, Maharashtra",Hyundai,Xcent,1.2 CRDi SX Option,2017,"62,000 km",Diesel,Manual,White,1st,MH,Comprehensive,"₹ 5,31,000"
"Govind Nagar, Nashik, Maharashtra",Mahindra,Xylo,2009-2011 E8,2009,"85,412 km",Diesel,Manual,Brown,1st,MH,No Insurance,"₹ 3,25,000"
"Bhumkar Chowk Road, Pune, Maharashtra",Maruti Suzuki,Vitara Brezza,ZDi,2017,"94,000 km",Diesel,Manual,White,1st,MH,Comprehensive,"₹ 8,50,000"
"Ganga Bai Ghat Chowk, Nagpur, Maharashtra",Ford,Figo,Not Available,2010,"61,000 km",Diesel,Manual,Red,3rd,MH,Third Party,"₹ 2,11,000"
"Bhandup East, Mumbai, Maharashtra",Toyota,Innova,2.5 GX 8 STR-BS-III,2015,"112,000 km",Diesel,Manual,Gold,1st,MH,Comprehensive,"₹ 10,50,000"
"Juhu Tara Road, Mumbai, Maharashtra",Toyota,Innova Crysta,ZX 2.4 Diesel 7 Seater,2016,"44,000 km",Diesel,Automatic,Bordeaux/Maroon,1st,MH,Comprehensive,"₹ 16,91,000"
"Khar West, Mumbai, Maharashtra",Volkswagen,Vento,1.2 Highline Plus AT 16 Alloy,2016,"17,000 km",Petrol,Automatic,Silver,1st,MH,Comprehensive,"₹ 5,75,000"
"Juhu Tara Road, Mumbai, Maharashtra",BMW,5 Series,2010-2013 520d Sedan,2010,"53,000 km",Diesel,Automatic,Blue,1st,MH,Comprehensive,"₹ 7,91,000"
"Juhu Tara Road, Mumbai, Maharashtra",Toyota,Innova Crysta,2.4 VX MT 8S,2016,"62,000 km",Diesel,Manual,Bordeaux/Maroon,1st,MH,Comprehensive,"₹ 15,92,000"
"Andheri East, Mumbai, Maharashtra",Maruti Suzuki,Ignis,1.2 Zeta,2018,"24,000 km",Petrol,Automatic,Blue,1st,MH,No Insurance,"₹ 5,65,000"
"Ganga Bai Ghat Chowk, Nagpur, Maharashtra",Toyota,Innova,Not Available,2010,"77,000 km",Not Available,Manual,Grey,3rd,MH,No Insurance,"₹ 5,51,000"
"Ganga Bai Ghat Chowk, Nagpur, Maharashtra",Maruti Suzuki,Wagon R,LXI,2007,"42,000 km",Petrol,Manual,Red,2nd,MH,Third Party,"₹ 1,51,000"
