location,Company,Model,ModelType,Year,Kms,Fuel,Transmission,Color,No_of_owner,RTO,Insurance,Price
"Chariali Hatigaon, Guwahati, Assam",Hyundai,Grand i10,1.2 Kappa Asta,2015,"39,800 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,82,000"
"MadhabPur, Nagaon, Assam",Hyundai,Elite i20,Magna 1.2,2011,"62,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,10,000"
"Silangani Gaon, Nagaon, Assam",Mahindra,Bolero Pik-Up,FB 1.25T,2018,"93,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 7,00,000"
"Banamali Part 1, Karimganj, Assam",Maruti Suzuki,800,AC,2007,"35,000 km",Petrol,Automatic,Not Available,3rd,Not Available,Not Available,"₹ 80,000"
"Haibargaon, Nagaon, Assam",Honda,Brio,Not Available,2014,"82,000 km",Petrol,Manual,White,1st,AS,Comprehensive,"₹ 3,45,000"
"Moriani Grant, Mariani, Assam",Hyundai,Santro,Others,2005,"56,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 80,000"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Barahalia, Tezpur, Assam",Nissan,Micra,2010-2012 XV,2016,"37,000 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 3,90,000"
"Ananda Nagar, Guwahati, Assam",Maruti Suzuki,Swift Dzire,VDI,2013,"58,000 km",Diesel,Manual,Grey,Not Available,AS,Comprehensive,"₹ 3,55,000"
"Dimaruguri near Ananda Nagar, Nagaon, Assam",Hyundai,i10,Sportz,2010,"49,884 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,35,000"
"Hatigaon, Guwahati, Assam",Toyota,Fortuner,3.0 4x4 Manual,2012,"80,000 km",Diesel,Manual,White,1st,AS,Comprehensive,"₹ 13,55,000"
"Noonmati, Guwahati, Assam",Mitsubishi,Pajero Sport,Limited Edition,2016,"60,000 km",Diesel,Manual,Red,1st,AS,Comprehensive,"₹ 15,50,000"
"Hatigaon, Guwahati, Assam",Maruti Suzuki,Swift Dzire,ZXI,2014,"42,000 km",Petrol,Manual,Grey,1st,AS,Comprehensive,"₹ 4,65,000"
"North Bongaigaon, Bongaigaon, Assam",Tata,Zest,Revotron 1.2T XMS,2019,"68,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,31,000"
"Borbari, Guwahati, Assam",Toyota,Innova Crysta,2.4 G Plus MT 8S,2019,"28,000 km",Diesel,Manual,White,1st,AS,Zero Dep,"₹ 16,75,000"
"Burigaon, Doboka, Assam",Ashok Leyland,Others,Others,2013,"80,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 10,50,000"
"Akashi Nagar, Guwahati, Assam",Mahindra,Others,Others,2020,1 km,Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,80,000"
"Saguni Bari Gaon, Dibrugarh, Assam",Other Brands,Others,Not Available,2015,"20,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,90,000"
"Chandmari, Guwahati, Assam",Maruti Suzuki,Baleno,1.2 Delta,2016,"65,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 4,70,000"
"Bhetapara, Guwahati, Assam",Maruti Suzuki,Wagon R 1.0,1.0 VXi,2013,"90,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,20,000"
"Railway Colony, Tinsukia, Assam",Maruti Suzuki,Alto K10,LX,2015,1 km,Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 80,000"
"Kahi Kuchi, Azara, Assam",Hyundai,i10,2007-2010 Magna 1.2,2012,"59,000 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 2,48,000"
"Sonapur, Changsari, Assam",Hyundai,i20 Active,SX Dual Tone Diesel,2015,"90,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,40,000"
"Sarbodaya Nagar, Guwahati, Assam",Maruti Suzuki,800,Std BSII,2007,"80,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 90,000"
"Borpathar Gaon, Barpathar, Assam",Other Brands,Others,Not Available,2018,156 km,Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 5,50,000"
"Christanpatty, Nagaon, Assam",Mahindra,XUV500,W10 2WD,2016,"145,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 13,00,000"
"Ambari, Guwahati, Assam",Ford,Aspire,Trend Plus Ti-VCT,2019,"39,600 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,85,000"
"Birubari, Guwahati, Assam",Hyundai,i20,2009-2011 1.4 Magna ABS,2011,"20,160 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,80,000"
"Tarphat, Golaghat, Assam",Tata,Indigo Ecs,2008-2012 LS (TDI) BS III,2013,"131,758 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,42,000"
"Silapathar, Assam, India",Tata,Others,Others,2018,165 km,Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,80,000"
"Durga Sarovar, Guwahati, Assam",Audi,A3,35 TDI Premium Plus + Sunroof,2014,"68,000 km",Diesel,Automatic,White,2nd,AS,Comprehensive,"₹ 16,00,000"
"Polo Field, Tezpur, Assam",Maruti Suzuki,Ertiga,ZXI Plus Petrol,2020,"12,000 km",Petrol,Manual,White,1st,AS,Comprehensive,"₹ 8,95,000"
"Jalukbari, Guwahati, Assam",Hyundai,Venue,SX Turbo,2021,"7,000 km",Petrol,Manual,White,1st,AS,Comprehensive,"₹ 9,95,000"
"Phakali Pathar, Nagaon, Assam",Maruti Suzuki,Alto,2000-2005 LX,2010,"100,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,50,000"
"Habir Gaon, Nagaon, Assam",Tata,Others,Others,2015,100 km,Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 6,80,000"
"Six Mile, Guwahati, Assam",Maruti Suzuki,Swift Dzire Tour,LDI,2017,"111,400 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,75,000"
"Bangaljhora, Bijni, Assam",Datsun,Redi Go,Others,2018,"56,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,60,000"
"Morongal, Nagaon, Assam",Tata,Indigo Ecs,Others,2012,"7,500 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 1,25,000"
"Silapathar, Assam, India",Chevrolet,Sail,1.2 LS ABS,2014,"16,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,70,000"
"Gandhi Chowk, Doom Dooma, Assam",Maruti Suzuki,Swift,2011-2014 VDI,2009,"60,306 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,25,000"
"Noonmati, Guwahati, Assam",Tata,Sumo Gold,Gold CX,2016,"100,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,10,000"
"Ulubari, Guwahati, Assam",Hyundai,Grand i10,1.2 CRDi Asta,2015,"51,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,30,000"
"Dillghat Gaon No 1, Namrup, Assam",Hyundai,Elite i20,Magna 1.2,2016,"43,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,78,000"
"Sonali Jyanti Nagar, Jorhat, Assam",Hyundai,Santro Xing,Not Available,2006,"52,000 km",Not Available,Not Available,Not Available,1st,AS,Not Available,"₹ 1,25,000"
"Bhangagarh, Guwahati, Assam",Datsun,GO,Others,2015,"78,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,30,000"
"Hajua Pathar, Naharkatiya, Assam",Maruti Suzuki,800,AC,2004,"42,092 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 55,000"
"Jhinga Gaon, Tinsukia, Assam",Tata,Nano,2012-2015 Lx BSIV,2013,"12,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 99,000"
"Jayanagar, Duliajan, Assam",Fiat,Linea,2007-2013 Emotion Pack,2011,"70,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,80,000"
"Lanka Bazar, Lanka, Assam",Maruti Suzuki,Omni,Others,2015,"35,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,50,000"
"Tulungia Part 1, Abhayapuri, Assam",Tata,Others,Others,2021,0 km,Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,00,000"
"Hatigaon, Guwahati, Assam",Hyundai,EON,Era +,2013,"53,000 km",Petrol,Manual,Grey,1st,AS,Comprehensive,"₹ 1,95,000"
"Hatigaon, Guwahati, Assam",Maruti Suzuki,Wagon R 1.0,1.0 VXi,2014,"53,000 km",Petrol,Manual,Silver,1st,AS,Comprehensive,"₹ 3,50,000"
"Jalukbari, Guwahati, Assam",Hyundai,EON,Magna +,2011,"55,000 km",Petrol,Manual,Silver,1st,AS,Not Available,"₹ 1,99,000"
"Kota Bari, Guwahati, Assam",Tata,Others,Others,2015,0 km,Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,40,000"
"Haibargaon, Nagaon, Assam",Hyundai,EON,Sportz,2014,"65,000 km",Petrol,Manual,White,2nd,Not Available,Comprehensive,"₹ 2,50,000"
"Lathimara, Badarpur, Assam",Other Brands,Others,Not Available,2016,"18,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 80,000"
"Dimrupar, Hojai, Assam",Maruti Suzuki,Alto 800,2012-2016 LX,2005,"56,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,25,000"
"Chandmari, Guwahati, Assam",BMW,3 Series,2005-2011 320i,2011,"37,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 9,50,000"
"Bandardewa IID, Assam, India",Chevrolet,Sail U-VA,1.2 LS ABS,2014,"44,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,35,000"
"Kamrup, Guwahati, Assam",Tata,Aria,2010-2013 LX 4x2,2015,"30,000 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 1,20,000"
"Kamrup, Guwahati, Assam",Maruti Suzuki,Wagon R,2010-2012 VXI BSIII,2010,"92,320 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,45,000"
"Khanapara, Guwahati, Assam",Ford,Figo,Others,2013,0 km,Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,80,000"
"Boladmari, Goalpara, Assam",Mahindra,Xylo,2012-2014 E9,2012,"100,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,10,000"
"Santipur, Guwahati, Assam",Tata,Safari,4x2 EX DICOR BS-III,2010,"130,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,00,000"
"Dighali Ati, Raha, Assam",Maruti Suzuki,Alto 800,LXI,2021,"17,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,60,000"
"Lanka Bazar, Lanka, Assam",Maruti Suzuki,Alto 800,2012-2016 VXI,2020,"38,500 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 3,65,000"
"Laal Ganesh, Guwahati, Assam",Tata,Nano,2012-2015 CX,2012,"45,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 63,000"
"Six Mile, Guwahati, Assam",Mahindra,Scorpio,2002-2013 VLX 2.2 mHawk Airbag BSIV,2011,"95,600 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,50,000"
"Dhit chak, Karimganj, Assam",Mahindra,Others,Others,2013,"38,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 60,000"
"Borbari, Guwahati, Assam",Maruti Suzuki,Wagon R,Not Available,2016,"44,000 km",Petrol,Not Available,Brown,Not Available,Not Available,Not Available,"₹ 3,70,000"
"Beltola, Guwahati, Assam",Toyota,Fortuner,2.8 2WD MT,2019,"21,000 km",Diesel,Manual,White,1st,AS,Comprehensive,"₹ 28,00,000"
"Vartak Enclave, Tezpur, Assam",Hyundai,i20 Active,Others,2016,"48,000 km",Petrol,Manual,White,1st,AS,Comprehensive,"₹ 5,50,000"
"Khanapara, Guwahati, Assam",Hyundai,Verna,Fluidic 1.6 VTVT SX Opt,2017,"59,000 km",Petrol,Manual,White,1st,AS,Comprehensive,"₹ 8,80,000"
"Bherbheri, Nagaon, Assam",Maruti Suzuki,Alto 800,STD,2006,"110,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 90,000"
"Kaliapani Vill N C, Doom Dooma, Assam",Chevrolet,Spark,2007-2012 1.0,2012,"81,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,30,000"
"Kumar Gaon, Titabor Town, Assam",Hyundai,i10,Magna,2008,"90,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,50,000"
"Kukuripar, Bilasipara, Assam",Maruti Suzuki,Alto K10,VXI,2016,"48,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,10,000"
"Bandhabpara, Bilasipara, Assam",Tata,Others,Others,2018,"900,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 65,000"
"Khuti Katia, Nagaon, Assam",Mahindra,Others,Others,2018,"3,500 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,50,000"
"Burhapatia, Kampur Town, Assam",Hyundai,Fluidic Verna,1.6 CRDi S,2012,"76,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,75,000"
"Naharkatia Kaibatra, Naharkatiya, Assam",Tata,Safari Storme,EX,2016,"100,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 6,80,000"
"Bezarchuk Bongali, Moran Town, Assam",Hyundai,Santro Xing,XL,2007,"51,000 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 1,65,000"
"Telia Gaon, Nagaon, Assam",Maruti Suzuki,Swift,VXI,2020,20 km,Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 2,00,000"
"Dhing Bazar, Dhing, Assam",Mahindra,XUV500,W5,2019,"24,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 11,00,000"
"Fauzadari Patty, Nagaon, Assam",Maruti Suzuki,Swift Dzire,VDI,2011,"81,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,18,000"
"Narsing Gaon, Tinsukia, Assam",Maruti Suzuki,Alto,2000-2005 LX,2008,"89,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,45,000"
"Haibargaon, Nagaon, Assam",Maruti Suzuki,800,Std,2002,"84,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 80,000"
"Uttarjasnabad Part 1, Lala, Assam",Maruti Suzuki,Alto 800,2012-2016 Base,2016,"108,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 12,00,000"
"Dalgaon, Mangaldoi, Assam",Bajaj,RE60,Qute Petrol,2011,"55,000 km",Petrol,Manual,Not Available,4+,Not Available,Not Available,"₹ 15,000"
"Banfera T G, Sonari, Assam",Tata,Indica Vista,2008-2013 Terra TDI BSIII,2013,"72,000 km",Diesel,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 1,55,000"
"Durga Sarovar, Guwahati, Assam",Honda,Jazz,V CVT,2016,"21,000 km",Petrol,Automatic,Bordeaux/Maroon,1st,AS,Comprehensive,"₹ 5,25,000"
"Vartak Enclave, Tezpur, Assam",Maruti Suzuki,Wagon R 1.0,1.0 LXi,2019,"19,000 km",Petrol,Manual,Grey,1st,AS,Comprehensive,"₹ 5,60,000"
"Hatigaon, Guwahati, Assam",Honda,Amaze,VX i-VTEC,2019,"36,000 km",Petrol,Manual,Grey,1st,AS,Comprehensive,"₹ 6,50,000"
"Gossaipur Part 1, Durga Nagar Part V, Assam",Bajaj,Others,Others,2019,"18,000 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 85,000"
"Pakabetbari Gaon, Barpeta, Assam",Bajaj,Others,Others,2011,"70,000 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 35,000"
"Graham Bazar, Dibrugarh, Assam",Tata,Vista,Others,2012,"113,555 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 1,25,000"
"Kachalokhowa, Nagaon, Assam",Hyundai,EON,Sportz,2013,"58,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,70,000"
"Haibargaon, Nagaon, Assam",Renault,KWID,Not Available,2016,"65,000 km",LPG,Manual,Red,1st,AS,Comprehensive,"₹ 2,75,000"
"Dichoinagar, Naubaisa Gaon, Assam",Tata,Safari,Dicor EX 4X2,2008,"130,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,70,000"
"Chandmari, Guwahati, Assam",Ford,Figo,2012-2015 Diesel LXI,2014,"129,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,50,000"
"Bozaltoli Bongali Gaon, Tinsukia, Assam",Maruti Suzuki,800,Std,2003,"75,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 65,000"
"Gandhi Basti, Guwahati, Assam",Hyundai,Grand i10 Nios,Asta,2020,"9,500 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 7,00,000"
"Behia Chetia Gaon, Dibrugarh, Assam",Mahindra,Xylo,2012-2014 E8 ABS BS III,2012,"15,000 km",Diesel,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 3,00,000"
"Garhali, Jorhat, Assam",Honda,City,2015-2017 i DTec E,2015,"55,856 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,90,000"
"Dicial Gaon, Sibsagar, Assam",Tata,Others,Others,2017,"70,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,80,000"
"Jayanagar, Duliajan, Assam",Hyundai,Santro,LS,2001,70 km,Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,20,000"
"Gotanagar, Guwahati, Assam",Volkswagen,Vento,2010-2013 IPL II Petrol Trendline,2013,"64,500 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,80,000"
"Lathimara, Badarpur, Assam",Other Brands,Others,2005-2010 LX BSIII,2015,"39,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 49,000"
"Amolapatty, Nagaon, Assam",Chevrolet,Beat,2010-2013 Diesel LT,2012,"97,000 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 1,00,000"
"Christanpatty, Nagaon, Assam",Tata,Others,Not Available,2019,"38,108 km",Diesel,Manual,Other,1st,AS,No Insurance,"₹ 4,00,000"
"Vartak Enclave, Tezpur, Assam",Maruti Suzuki,Alto 800,STD,2009,"52,000 km",Petrol,Manual,Black,1st,AS,Comprehensive,"₹ 1,60,000"
"Dhakota, Jorhat, Assam",Renault,KWID,RXT Optional,2016,"24,989 km",Petrol,Manual,Red,1st,AS,Comprehensive,"₹ 2,90,000"
"Jalukbari, Guwahati, Assam",Hyundai,Grand i10,1.2 Kappa Sportz,2014,"52,000 km",Petrol,Manual,Other,1st,AS,Not Available,"₹ 3,75,000"
"Bahbari Gaon, Tinsukia, Assam",Other Brands,Others,Not Available,2015,"23,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 38,000"
"Navagraha Hills, Guwahati, Assam",Maruti Suzuki,Swift Dzire,VDI,2011,"80,000 km",Diesel,Manual,Not Available,3rd,Not Available,Not Available,"₹ 2,40,000"
"Haibargaon, Nagaon, Assam",Mahindra,Xylo,2012-2014 E4 ABS BS IV,2012,"80,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,95,000"
"Ahom Gaon, Guwahati, Assam",Datsun,GO,D Petrol,2016,"140,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 15,000"
"Amtali, Barpeta Road, Assam",Hyundai,Grand i10,2013-2016 CRDi Asta,2015,"74,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,50,000"
"Mahabhairab, Tezpur, Assam",Honda,Amaze,1.2 EMT I VTEC,2019,"15,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 7,80,000"
"Dispur, Guwahati, Assam",Maruti Suzuki,Alto 800,LXI,2013,"36,301 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,40,000"
"Tapatari, Abhayapuri, Assam",Toyota,Corolla Altis,2010-2013 Diesel D4DG,2012,"89,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,50,000"
"Dhemaji Kaibartta, Dergaon, Assam",Hyundai,i10,Era,2010,"67,000 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 1,55,000"
"Barsapara, Guwahati, Assam",Maruti Suzuki,800,AC,2004,"42,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,20,000"
"Kamrup, Guwahati, Assam",Datsun,GO,Style,2017,"55,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,20,000"
"Makum Pathar No 1, Margherita, Assam",Hyundai,Santro Xing,XP,2004,"60,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,00,000"
"Kakaratoli Gaon, Tinsukia, Assam",Ford,Ecosport,1.5 Petrol Trend,2014,"30,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,80,000"
"Hengerabari, Guwahati, Assam",Toyota,Innova,2.5 EV Diesel PS 8 Seater BSIII,2013,"110,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 8,00,000"
"Dakhin Sonari Habi, Sonari, Assam",Toyota,Etios Liva,TRD Sportivo Diesel Ltd,2013,"58,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,00,000"
